Race,Year,State,Deaths,Population,Crude_Rate,Age_Adj_Death_Rate
Black,2009,Washington,45,305941,14.7,42.8
Black,2009,West Virginia,12,70465,,
Black,2009,Wisconsin,35,389316,9,25.4
Black,2010,Alabama,215,1279072,16.8,24.4
Black,2010,Arizona,50,316039,15.8,44.1
Black,2010,Arkansas,76,466200,16.3,25
Black,2010,California,492,2718779,18.1,28.6
Black,2010,Colorado,30,245200,12.2,32.5
Black,2010,Connecticut,25,416130,6,11.1
Black,2010,Delaware,29,204730,14.2,26.1
Black,2010,District of Columbia,69,317619,21.7,17.6
Black,2010,Florida,287,3172720,9,16.5
Black,2010,Georgia,323,3057817,10.6,22.3
Black,2010,Illinois,246,1965842,12.5,18.8
Black,2010,Indiana,108,643598,16.8,29.8
Black,2010,Iowa,12,107203,,
Black,2010,Kansas,14,195412,,
Black,2010,Kentucky,50,364148,13.7,22.5
Black,2010,Louisiana,214,1485375,14.4,23.8
Black,2010,Maryland,149,1783183,8.4,14.1
Black,2010,Massachusetts,44,539664,8.2,15.9
Black,2010,Michigan,164,1483261,11.1,15.8
Black,2010,Minnesota,10,311471,,
Black,2010,Mississippi,186,1115323,16.7,26.9
Black,2010,Missouri,89,734657,12.1,19.7
Black,2010,Nebraska,12,96172,,
Black,2010,New Jersey,117,1333527,8.8,14.1
Black,2010,New York,176,3523196,5,7
Black,2010,North Carolina,372,2151978,17.3,26.3
Black,2010,Ohio,289,1510985,19.1,27.3
Black,2010,Oklahoma,36,319116,11.3,22.3
Black,2010,Oregon,10,94276,,
Black,2010,Pennsylvania,150,1506459,10,13.9
Black,2010,South Carolina,256,1329507,19.3,28.5
Black,2010,Tennessee,248,1097940,22.6,40.5
Black,2010,Texas,344,3156011,10.9,22
Black,2010,Virginia,223,1640836,13.6,20
Black,2010,Washington,46,310869,14.8,41.9
Black,2010,West Virginia,10,71260,,
Black,2010,Wisconsin,30,394478,7.6,22.8
Black,2011,Alabama,228,1293037,17.6,25.4
Black,2011,Arizona,62,327548,18.9,51.4
Black,2011,Arkansas,98,471035,20.8,31.6
Black,2011,California,584,2749509,21.2,32.7
Black,2011,Colorado,21,254320,8.3,21.1
Black,2011,Connecticut,28,420735,6.7,12.6
Black,2011,Delaware,20,207425,9.6,17.6
Black,2011,District of Columbia,81,320832,25.2,20.7
Black,2011,Florida,269,3242646,8.3,13.9
Black,2011,Georgia,342,3113361,11,22.9
Black,2011,Illinois,258,1971805,13.1,18.9
Black,2011,Indiana,100,652559,15.3,26.8
Black,2011,Iowa,20,110753,18.1,59.2
Black,2011,Kansas,21,199790,10.5,20.4
Black,2011,Kentucky,39,372115,10.5,17.4
Black,2011,Louisiana,248,1506336,16.5,26.7
Black,2011,Maryland,148,1802494,8.2,13.4
Black,2011,Massachusetts,39,549080,7.1,13.5
Black,2011,Michigan,205,1488254,13.8,19.4
Black,2011,Minnesota,16,319140,,
Black,2011,Mississippi,190,1125114,16.9,27.2
Black,2011,Missouri,97,740525,13.1,20.9
Black,2011,Nevada,12,259830,,
Black,2011,New Jersey,128,1343487,9.5,15
Black,2011,New York,197,3556174,5.5,7.6
Black,2011,North Carolina,384,2188334,17.5,26.1
Black,2011,Ohio,254,1521089,16.7,23.1
Black,2011,Oklahoma,50,327715,15.3,30.2
Black,2011,Oregon,13,97912,,
Black,2011,Pennsylvania,153,1521882,10.1,14.2
Black,2011,South Carolina,243,1343297,18.1,26.1
Black,2011,Tennessee,242,1114647,21.7,38.2
Black,2011,Texas,373,3231968,11.5,22.8
Black,2011,Virginia,213,1664318,12.8,19
Black,2011,Washington,41,324542,12.6,34.3
Black,2011,Wisconsin,32,399745,8,22.8
Black,2012,Alabama,193,1302210,14.8,21.2
Black,2012,Arizona,42,336915,12.5,32.2
Black,2012,Arkansas,84,473402,17.7,27.1
Black,2012,California,561,2767389,20.3,30.1
Black,2012,Colorado,42,259561,16.2,39.6
Black,2012,Connecticut,22,426892,5.2,9.5
Black,2012,Delaware,30,211248,14.2,24.8
Black,2012,District of Columbia,77,324476,23.7,19.3
Black,2012,Florida,264,3311596,8,13.1
Black,2012,Georgia,346,3163293,10.9,22.2
Black,2012,Illinois,251,1968408,12.8,17.9
Black,2012,Indiana,95,660228,14.4,24.5
Black,2012,Iowa,16,114463,,
Black,2012,Kansas,23,203096,11.3,20.3
Black,2012,Kentucky,55,377606,14.6,23.7
Black,2012,Louisiana,254,1516716,16.7,26.4
Black,2012,Maryland,158,1822097,8.7,13.8
Black,2012,Massachusetts,46,564804,8.1,14.8
Black,2012,Michigan,187,1488275,12.6,16.9
Black,2012,Mississippi,182,1129882,16.1,25.3
Black,2012,Missouri,97,743924,13,19.9
Black,2012,Nevada,16,271301,,
Black,2012,New Jersey,124,1354962,9.2,13.8
Black,2012,New York,220,3583475,6.1,8
Black,2012,North Carolina,395,2217811,17.8,25.7
Black,2012,Ohio,297,1530803,19.4,25.7
Black,2012,Oklahoma,48,330614,14.5,27.1
Black,2012,Oregon,10,99831,,
Black,2012,Pennsylvania,164,1538330,10.7,14.5
Black,2012,South Carolina,246,1351898,18.2,25.6
Black,2012,Tennessee,223,1131376,19.7,33.9
Black,2012,Texas,361,3313287,10.9,21.3
Black,2012,Virginia,217,1679707,12.9,18.4
Black,2012,Washington,47,333148,14.1,37.9
Black,2012,Wisconsin,23,403754,5.7,14.9
Black,2013,Alabama,207,1307660,15.8,22.3
Black,2013,Arizona,49,347699,14.1,35.3
Black,2013,Arkansas,73,475853,15.3,23.4
Black,2013,California,639,2778851,23,33.1
Black,2013,Colorado,32,266564,12,27.7
Black,2013,Connecticut,35,434310,8.1,14.2
Black,2013,Delaware,27,214516,12.6,20.5
Black,2013,District of Columbia,90,328102,27.4,21.8
Black,2013,Florida,319,3371252,9.5,14.8
Black,2013,Georgia,375,3206522,11.7,22.8
Black,2013,Illinois,253,1965178,12.9,17.4
Black,2013,Indiana,103,669408,15.4,25.9
Black,2013,Iowa,12,119604,,
Black,2013,Kansas,22,205055,10.7,19.5
Black,2013,Kentucky,46,383114,12,19.3
Black,2013,Louisiana,305,1526736,20,31.1
Black,2013,Maryland,140,1844337,7.6,11.2
Black,2013,Massachusetts,47,580805,8.1,14.5
Black,2013,Michigan,229,1485621,15.4,20.6
Black,2013,Minnesota,13,343718,,
Black,2013,Mississippi,173,1133698,15.3,23.1
Black,2013,Missouri,114,749790,15.2,22.9
Black,2013,Nevada,21,278299,7.5,14
Black,2013,New Jersey,111,1366160,8.1,12.1
Black,2013,New York,229,3606924,6.3,8
Black,2013,North Carolina,419,2244173,18.7,26.3
Black,2013,Ohio,265,1544643,17.2,22.6
Black,2013,Oklahoma,37,336487,11,21.3
Black,2013,Pennsylvania,119,1554879,7.7,10.3
Black,2013,South Carolina,247,1362515,18.1,25.3
Black,2013,Tennessee,218,1142045,19.1,32
Black,2013,Texas,414,3386416,12.2,23.3
Black,2013,Virginia,199,1695095,11.7,16.6
Black,2013,Washington,48,344242,13.9,36.9
Black,2013,Wisconsin,33,407587,8.1,21.3
Black,2014,Alabama,311,1317566,23.6,32.3
Black,2014,Arizona,55,360893,15.2,36.8
Black,2014,Arkansas,80,478462,16.7,25.2
Black,2014,California,683,2808562,24.3,34.1
Black,2014,Colorado,39,275766,14.1,31.6
Black,2014,Connecticut,41,440994,9.3,15.7
Black,2014,Delaware,23,217941,10.6,17.3
Black,2014,District of Columbia,79,331672,23.8,19.6
Black,2014,Florida,349,3451906,10.1,15.2
Black,2014,Georgia,475,3260440,14.6,27.9
Black,2014,Illinois,318,1964390,16.2,21.2
Black,2014,Indiana,112,678326,16.5,28.2
Black,2014,Kansas,30,207381,14.5,27
Black,2014,Kentucky,55,388837,14.1,22.3
Black,2014,Louisiana,312,1538168,20.3,30.7
Black,2014,Maryland,168,1868002,9,13.2
Black,2014,Massachusetts,53,601765,8.8,15
Black,2014,Michigan,253,1487623,17,21.8
Black,2014,Minnesota,15,357154,,
Black,2014,Mississippi,214,1137829,18.8,28.1
Black,2014,Missouri,103,755768,13.6,19.7
Black,2014,Nebraska,14,104828,,
Black,2014,Nevada,36,287687,12.5,24.4
Black,2014,New Jersey,123,1381439,8.9,12.7
Black,2014,New York,259,3648167,7.1,8.8
Black,2014,North Carolina,448,2272052,19.7,27.3
Black,2014,Ohio,289,1561477,18.5,24
Black,2014,Oklahoma,43,341243,12.6,25
Black,2014,Pennsylvania,169,1572487,10.7,14.3
Black,2014,South Carolina,317,1374865,23.1,31.1
Black,2014,Tennessee,231,1155583,20,33.3
Black,2014,Texas,501,3471829,14.4,27.1
Black,2014,Virginia,233,1711801,13.6,18.6
Black,2014,Washington,52,355573,14.6,37.6
Black,2014,West Virginia,14,75917,,
Black,2014,Wisconsin,43,411489,10.4,26.9
Black,2015,Alabama,398,1325905,30,40.4
Black,2015,Arizona,68,374864,18.1,42.7
Black,2015,Arkansas,133,481843,27.6,40.5
Black,2015,California,827,2827821,29.2,39.7
Black,2015,Colorado,35,284005,12.3,27.3
Black,2015,Connecticut,43,445929,9.6,15.5
Black,2015,Delaware,36,221986,16.2,23.9
Black,2015,District of Columbia,86,333883,25.8,20.5
Black,2015,Florida,464,3528984,13.1,19.3
Black,2015,Georgia,631,3320419,19,35.2
Black,2015,Illinois,384,1962578,19.6,24.9
Black,2015,Indiana,123,685966,17.9,29.8
Black,2015,Kansas,33,209415,15.8,28.1
Black,2015,Kentucky,68,392826,17.3,26.8
Black,2015,Louisiana,376,1546176,24.3,35.9
Black,2015,Maryland,201,1890111,10.6,15
Black,2015,Massachusetts,42,619655,6.8,11.3
Black,2015,Michigan,303,1489718,20.3,25.3
Black,2015,Minnesota,25,366862,6.8,25.8
Black,2015,Mississippi,269,1140310,23.6,34.8
Black,2015,Missouri,126,761321,16.6,23.7
Black,2015,Nebraska,12,106950,,
Black,2015,Nevada,58,298727,19.4,36.1
Black,2015,New Jersey,156,1392086,11.2,15.4
Black,2015,New York,280,3665284,7.6,9.2
Black,2015,North Carolina,546,2301313,23.7,32.3
Black,2015,Ohio,322,1578549,20.4,25.9
Black,2015,Oklahoma,63,346973,18.2,34.1
Black,2015,Oregon,11,108507,,
Black,2015,Pennsylvania,207,1588739,13,17.1
Black,2015,Rhode Island,13,93775,,
