Race,Year,State,Population
Black,2012,Hawaii,41541
Black,2012,Idaho,16896
Black,2012,Illinois,1968408
Black,2012,Indiana,660228
Black,2012,Iowa,114463
Black,2012,Kansas,203096
Black,2012,Kentucky,377606
Black,2012,Louisiana,1516716
Black,2012,Maine,21376
Black,2012,Maryland,1822097
Black,2012,Massachusetts,564804
Black,2012,Michigan,1488275
Black,2012,Minnesota,332106
Black,2012,Mississippi,1129882
Black,2012,Missouri,743924
Black,2012,Montana,8849
Black,2012,Nebraska,100174
Black,2012,Nevada,271301
Black,2012,New Hampshire,22230
Black,2012,New Jersey,1354962
Black,2012,New Mexico,60900
Black,2012,New York,3583475
Black,2012,North Carolina,2217811
Black,2012,North Dakota,12893
Black,2012,Ohio,1530803
Black,2012,Oklahoma,330614
Black,2012,Oregon,99831
Black,2012,Pennsylvania,1538330
Black,2012,Rhode Island,86958
Black,2012,South Carolina,1351898
Black,2012,South Dakota,17276
Black,2012,Tennessee,1131376
Black,2012,Texas,3313287
Black,2012,Utah,46356
Black,2012,Vermont,9018
Black,2012,Virginia,1679707
Black,2012,Washington,333148
Black,2012,West Virginia,73967
Black,2012,Wisconsin,403754
Black,2012,Wyoming,10665
Black,2013,Alabama,1307660
Black,2013,Alaska,36376
Black,2013,Arizona,347699
Black,2013,Arkansas,475853
Black,2013,California,2778851
Black,2013,Colorado,266564
Black,2013,Connecticut,434310
Black,2013,Delaware,214516
Black,2013,District of Columbia,328102
Black,2013,Florida,3371252
Black,2013,Georgia,3206522
Black,2013,Hawaii,44268
Black,2013,Idaho,18002
Black,2013,Illinois,1965178
Black,2013,Indiana,669408
Black,2013,Iowa,119604
Black,2013,Kansas,205055
Black,2013,Kentucky,383114
Black,2013,Louisiana,1526736
Black,2013,Maine,22004
Black,2013,Maryland,1844337
Black,2013,Massachusetts,580805
Black,2013,Michigan,1485621
Black,2013,Minnesota,343718
Black,2013,Mississippi,1133698
Black,2013,Missouri,749790
Black,2013,Montana,9230
Black,2013,Nebraska,102463
Black,2013,Nevada,278299
Black,2013,New Hampshire,23374
Black,2013,New Jersey,1366160
Black,2013,New Mexico,62008
Black,2013,New York,3606924
Black,2013,North Carolina,2244173
Black,2013,North Dakota,15769
Black,2013,Ohio,1544643
Black,2013,Oklahoma,336487
Black,2013,Oregon,101720
Black,2013,Pennsylvania,1554879
Black,2013,Rhode Island,88475
Black,2013,South Carolina,1362515
Black,2013,South Dakota,19294
Black,2013,Tennessee,1142045
Black,2013,Texas,3386416
Black,2013,Utah,48253
Black,2013,Vermont,9587
Black,2013,Virginia,1695095
Black,2013,Washington,344242
Black,2013,West Virginia,75151
Black,2013,Wisconsin,407587
Black,2013,Wyoming,12439
Black,2014,Alabama,1317566
Black,2014,Alaska,36889
Black,2014,Arizona,360893
Black,2014,Arkansas,478462
Black,2014,California,2808562
Black,2014,Colorado,275766
Black,2014,Connecticut,440994
Black,2014,Delaware,217941
Black,2014,District of Columbia,331672
Black,2014,Florida,3451906
Black,2014,Georgia,3260440
Black,2014,Hawaii,46577
Black,2014,Idaho,18928
Black,2014,Illinois,1964390
Black,2014,Indiana,678326
Black,2014,Iowa,125162
Black,2014,Kansas,207381
Black,2014,Kentucky,388837
Black,2014,Louisiana,1538168
Black,2014,Maine,23257
Black,2014,Maryland,1868002
Black,2014,Massachusetts,601765
Black,2014,Michigan,1487623
Black,2014,Minnesota,357154
Black,2014,Mississippi,1137829
Black,2014,Missouri,755768
Black,2014,Montana,9626
Black,2014,Nebraska,104828
Black,2014,Nevada,287687
Black,2014,New Hampshire,23904
Black,2014,New Jersey,1381439
Black,2014,New Mexico,63023
Black,2014,New York,3648167
Black,2014,North Carolina,2272052
Black,2014,North Dakota,18407
Black,2014,Ohio,1561477
Black,2014,Oklahoma,341243
Black,2014,Oregon,104808
Black,2014,Pennsylvania,1572487
Black,2014,Rhode Island,91554
Black,2014,South Carolina,1374865
Black,2014,South Dakota,19688
Black,2014,Tennessee,1155583
Black,2014,Texas,3471829
Black,2014,Utah,50205
Black,2014,Vermont,10025
Black,2014,Virginia,1711801
Black,2014,Washington,355573
Black,2014,West Virginia,75917
Black,2014,Wisconsin,411489
Black,2014,Wyoming,11459
Black,2015,Alabama,1325905
Black,2015,Alaska,37042
Black,2015,Arizona,374864
Black,2015,Arkansas,481843
Black,2015,California,2827821
Black,2015,Colorado,284005
Black,2015,Connecticut,445929
Black,2015,Delaware,221986
Black,2015,District of Columbia,333883
Black,2015,Florida,3528984
Black,2015,Georgia,3320419
Black,2015,Hawaii,49249
Black,2015,Idaho,19519
Black,2015,Illinois,1962578
Black,2015,Indiana,685966
Black,2015,Iowa,129926
Black,2015,Kansas,209415
Black,2015,Kentucky,392826
Black,2015,Louisiana,1546176
Black,2015,Maine,23542
Black,2015,Maryland,1890111
Black,2015,Massachusetts,619655
Black,2015,Michigan,1489718
Black,2015,Minnesota,366862
Black,2015,Mississippi,1140310
Black,2015,Missouri,761321
Black,2015,Montana,9958
Black,2015,Nebraska,106950
Black,2015,Nevada,298727
Black,2015,New Hampshire,24188
Black,2015,New Jersey,1392086
Black,2015,New Mexico,64016
Black,2015,New York,3665284
Black,2015,North Carolina,2301313
Black,2015,North Dakota,21487
Black,2015,Ohio,1578549
Black,2015,Oklahoma,346973
Black,2015,Oregon,108507
Black,2015,Pennsylvania,1588739
Black,2015,Rhode Island,93775
Black,2015,South Carolina,1387150
Black,2015,South Dakota,19616
Black,2015,Tennessee,1167771
Black,2015,Texas,3557565
Black,2015,Utah,51263
Black,2015,Vermont,10569
Black,2015,Virginia,1729691
Black,2015,Washington,366391
Black,2015,West Virginia,76375
Black,2015,Wisconsin,415631
Black,2015,Wyoming,10767
Black,2016,Alabama,1329648
Black,2016,Alaska,36438
Black,2016,Arizona,385444
Black,2016,Arkansas,484598
Black,2016,California,2829264
Black,2016,Colorado,289206
Black,2016,Connecticut,449615
Black,2016,Delaware,225293
Black,2016,District of Columbia,334736
Black,2016,Florida,3597739
Black,2016,Georgia,3384642
Black,2016,Hawaii,43301
Black,2016,Idaho,20021
Black,2016,Illinois,1953836
Black,2016,Indiana,692488
Black,2016,Iowa,135448
Black,2016,Kansas,206845
Black,2016,Kentucky,395083
Black,2016,Louisiana,1554167
